,Sharing,Address,Size,Provider,Receiver,Latency (ns)
642,write,4096,64,7,0,15.751
643,write,4096,8,7,0,32.001
644,write,0,8,7,0,32.001
645,write,0,64,7,0,10.251
646,read,0,8,7,0,34.501
647,read,0,64,7,0,29.001
648,read,20480,8,7,3,34.501
649,read,20480,64,7,3,34.501
650,write,20480,8,7,3,37.501
651,write,20480,64,7,3,15.751
652,write,4096,8,7,3,26.501
653,write,4096,64,7,3,10.251
654,read,4096,8,7,3,23.501
655,read,4096,64,7,3,23.501
656,read,524288,64,7,3,23.501
657,write,524288,8,7,3,26.501
658,write,524288,64,7,3,10.251
659,write,0,64,7,3,15.751
660,write,0,8,7,3,32.001
661,read,0,64,7,3,29.001
662,read,0,8,7,3,34.501
663,read,1048576,64,7,3,23.501
664,write,1048576,64,7,3,10.251
665,write,1048576,8,7,3,26.501
666,write,0,64,7,4,15.751
667,write,0,8,7,4,32.001
668,read,0,64,7,4,29.001
669,read,0,8,7,4,34.501
670,read,4096,8,7,4,29.001
671,read,4096,64,7,4,29.001
672,write,4096,8,7,4,32.001
673,write,4096,64,7,4,21.251
674,read,20480,64,7,4,34.501
675,read,20480,8,7,4,34.501
676,write,20480,64,7,4,21.251
677,write,20480,8,7,4,37.501
678,write,1048576,8,7,4,32.001
679,write,1048576,64,7,4,21.251
680,read,1048576,64,7,4,29.001
681,write,524288,8,7,4,32.001
682,write,524288,64,7,4,21.251
683,read,524288,64,7,4,29.001
684,write,4096,8,7,6,26.501
685,write,4096,64,7,6,15.751
686,read,4096,64,7,6,23.501
687,read,4096,8,7,6,23.501
688,write,20480,64,7,6,26.751
689,write,20480,8,7,6,37.501
690,read,20480,64,7,6,34.501
691,read,20480,8,7,6,34.501
692,read,0,8,7,6,34.501
693,read,0,64,7,6,29.001
694,write,0,8,7,6,32.001
695,write,0,64,7,6,21.251
696,read,524288,64,7,6,23.501
697,write,524288,64,7,6,15.751
698,write,524288,8,7,6,26.501
699,write,1048576,8,7,6,26.501
700,write,1048576,64,7,6,15.751
701,read,1048576,64,7,6,23.501
702,read,0,8,7,1,34.501
703,read,0,64,7,1,29.001
704,write,0,64,7,1,10.251
705,write,0,8,7,1,32.001
706,read,4096,8,7,1,29.001
707,read,4096,64,7,1,29.001
708,write,4096,64,7,1,15.751
709,write,4096,8,7,1,32.001
710,read,524288,64,7,1,29.001
711,write,524288,64,7,1,15.751
712,write,524288,8,7,1,32.001
713,read,20480,64,7,1,40.001
714,read,20480,8,7,1,40.001
715,write,20480,8,7,1,43.001
716,write,20480,64,7,1,21.251
717,read,1048576,64,7,1,29.001
718,write,1048576,8,7,1,32.001
719,write,1048576,64,7,1,15.751
720,read,20480,64,7,5,34.501
721,read,20480,8,7,5,34.501
722,write,20480,8,7,5,37.501
723,write,20480,64,7,5,21.251
724,read,0,64,7,5,29.001
725,read,0,8,7,5,34.501
726,write,0,64,7,5,15.751
727,write,0,8,7,5,32.001
728,read,1048576,64,7,5,29.001
729,write,1048576,64,7,5,21.251
730,write,1048576,8,7,5,32.001
731,write,524288,64,7,5,21.251
732,write,524288,8,7,5,32.001
733,read,524288,64,7,5,29.001
734,write,4096,64,7,5,21.251
735,write,4096,8,7,5,32.001
736,read,4096,64,7,5,29.001
737,read,4096,8,7,5,29.001
738,read,524288,64,7,2,23.501
739,write,524288,8,7,2,26.501
740,write,524288,64,7,2,10.251
741,write,0,64,7,2,15.751
742,write,0,8,7,2,32.001
743,read,0,64,7,2,29.001
744,read,0,8,7,2,34.501
745,read,1048576,64,7,2,23.501
746,write,1048576,8,7,2,26.501
747,write,1048576,64,7,2,10.251
748,read,4096,8,7,2,23.501
749,read,4096,64,7,2,23.501
750,write,4096,64,7,2,10.251
751,write,4096,8,7,2,26.501
752,read,20480,8,7,2,34.501
753,read,20480,64,7,2,34.501
754,write,20480,64,7,2,15.751
755,write,20480,8,7,2,37.501
756,write,1048576,64,3,1,15.751
757,write,1048576,8,3,1,26.501
758,read,1048576,64,3,1,23.501
759,read,4096,8,3,1,23.501
760,read,4096,64,3,1,23.501
761,write,4096,8,3,1,26.501
762,write,4096,64,3,1,15.751
763,write,524288,64,3,1,15.751
764,write,524288,8,3,1,26.501
765,read,524288,64,3,1,23.501
766,write,20480,64,3,1,21.251
767,write,20480,8,3,1,32.001
768,read,20480,8,3,1,29.001
769,read,20480,64,3,1,29.001
770,read,0,64,3,1,23.501
771,read,0,8,3,1,23.501
772,write,0,64,3,1,10.251
773,write,0,8,3,1,26.501
774,read,0,64,3,6,29.001
775,read,0,8,3,6,34.501
776,write,0,8,3,6,32.001
777,write,0,64,3,6,21.251
778,read,1048576,64,3,6,23.501
779,write,1048576,64,3,6,15.751
780,write,1048576,8,3,6,26.501
781,read,20480,64,3,6,34.501
782,read,20480,8,3,6,34.501
783,write,20480,8,3,6,37.501
784,write,20480,64,3,6,26.751
785,write,4096,8,3,6,26.501
786,write,4096,64,3,6,15.751
787,read,4096,64,3,6,23.501
788,read,4096,8,3,6,23.501
789,write,524288,64,3,6,15.751
790,write,524288,8,3,6,26.501
791,read,524288,64,3,6,23.501
792,write,524288,8,3,2,21.001
793,write,524288,64,3,2,10.251
794,read,524288,64,3,2,18.001
795,write,0,64,3,2,15.751
796,write,0,8,3,2,26.501
797,read,0,8,3,2,23.501
798,read,0,64,3,2,23.501
799,read,4096,64,3,2,18.001
800,read,4096,8,3,2,18.001
801,write,4096,8,3,2,21.001
802,write,4096,64,3,2,10.251
803,write,20480,64,3,2,15.751
804,write,20480,8,3,2,26.501
805,read,20480,64,3,2,23.501
806,read,20480,8,3,2,23.501
807,read,1048576,64,3,2,18.001
808,write,1048576,8,3,2,21.001
809,write,1048576,64,3,2,10.251
810,write,20480,8,3,5,32.001
811,write,20480,64,3,5,21.251
812,read,20480,64,3,5,29.001
813,read,20480,8,3,5,29.001
814,write,4096,8,3,5,32.001
815,write,4096,64,3,5,21.251
816,read,4096,8,3,5,29.001
